head := query_30Centriod
921-th query  distance:=58118.2
922-th query  distance:=16911.5
923-th query  distance:=41585.7
924-th query  distance:=36332
925-th query  distance:=12120
926-th query  distance:=60311.3
927-th query  distance:=63155
928-th query  distance:=42990.6
929-th query  distance:=45678.8
930-th query  distance:=64090
931-th query  distance:=40402
932-th query  distance:=56916.5
933-th query  distance:=51476.6
934-th query  distance:=64756
935-th query  distance:=45423
936-th query  distance:=25242.6
937-th query  distance:=65800.5
938-th query  distance:=41186.6
939-th query  distance:=47108.8
940-th query  distance:=49450.5
941-th query  distance:=50046.4
942-th query  distance:=51537.7
943-th query  distance:=21526.1
944-th query  distance:=34224.6
945-th query  distance:=76910.7
946-th query  distance:=24214.4
947-th query  distance:=64586.2
948-th query  distance:=54369.4
949-th query  distance:=49517.6
950-th query  distance:=17848
951-th query  distance:=44506.1
952-th query  distance:=48689.7
953-th query  distance:=46060.5
954-th query  distance:=51548.8
955-th query  distance:=33545.5
956-th query  distance:=41152.1
957-th query  distance:=29269
958-th query  distance:=56635.1
959-th query  distance:=51470.4
960-th query  distance:=41134.1
961-th query  distance:=54953.8
962-th query  distance:=52795.6
963-th query  distance:=46890.2
964-th query  distance:=74518.1
965-th query  distance:=31895.6
966-th query  distance:=72531.7
967-th query  distance:=50548.7
968-th query  distance:=44339.4
969-th query  distance:=41251.9
970-th query  distance:=56242.5
971-th query  distance:=67380.7
972-th query  distance:=33036.5
973-th query  distance:=36328
974-th query  distance:=57496.1
975-th query  distance:=39106.3
976-th query  distance:=18708.8
977-th query  distance:=55714.9
978-th query  distance:=54326.7
979-th query  distance:=40060
980-th query  distance:=91992.6
981-th query  distance:=53384.2
982-th query  distance:=19620.8
983-th query  distance:=50282.8
984-th query  distance:=6689.54
985-th query  distance:=40496.4
986-th query  distance:=46335.1
987-th query  distance:=32860.8
988-th query  distance:=58519.7
989-th query  distance:=39422
990-th query  distance:=55771.8
991-th query  distance:=53085
992-th query  distance:=59069.6
993-th query  distance:=59521.2
994-th query  distance:=46477.8
995-th query  distance:=66012.8
996-th query  distance:=53663.2
997-th query  distance:=57960.1
998-th query  distance:=46292.8
999-th query  distance:=75979.7
1000-th query  distance:=44279.5
1001-th query  distance:=22247.8
1002-th query  distance:=38650.5
1003-th query  distance:=74899.2
1004-th query  distance:=50832.3
1005-th query  distance:=60808.3
1006-th query  distance:=23549
1007-th query  distance:=63411.6
1008-th query  distance:=46233.5
